rho eigenvector eigenvector_arma
0.05 0.011625 -0.011625
0.1 0.0237134 -0.0237134
0.15 0.0361547 -0.0361547
0.2 0.0488339 -0.0488339
0.25 0.0616331 -0.0616331
0.3 0.0744331 -0.0744331
0.35 0.0871152 -0.0871152
0.4 0.0995627 -0.0995627
0.45 0.111662 -0.111662
0.5 0.123307 -0.123307
0.55 0.134394 -0.134394
0.6 0.14483 -0.14483
0.65 0.154531 -0.154531
0.7 0.163423 -0.163423
0.75 0.17144 -0.17144
0.8 0.178532 -0.178532
0.85 0.184656 -0.184656
0.9 0.189784 -0.189784
0.95 0.193899 -0.193899
1 0.196994 -0.196994
1.05 0.199077 -0.199077
1.1 0.200163 -0.200163
1.15 0.20028 -0.20028
1.2 0.199462 -0.199462
1.25 0.197755 -0.197755
1.3 0.195211 -0.195211
1.35 0.191886 -0.191886
1.4 0.187845 -0.187845
1.45 0.183155 -0.183155
1.5 0.177885 -0.177885
1.55 0.172108 -0.172108
1.6 0.165897 -0.165897
1.65 0.159324 -0.159324
1.7 0.152461 -0.152461
1.75 0.145378 -0.145378
1.8 0.138141 -0.138141
1.85 0.130813 -0.130813
1.9 0.123455 -0.123455
1.95 0.116121 -0.116121
2 0.108862 -0.108862
2.05 0.101723 -0.101723
2.1 0.094746 -0.094746
2.15 0.087965 -0.087965
2.2 0.0814107 -0.0814107
2.25 0.0751082 -0.0751082
2.3 0.069078 -0.069078
2.35 0.0633357 -0.0633357
2.4 0.0578929 -0.0578929
2.45 0.0527569 -0.0527569
2.5 0.0479313 -0.0479313
2.55 0.0434164 -0.0434164
2.6 0.0392095 -0.0392095
2.65 0.0353053 -0.0353053
2.7 0.0316961 -0.0316961
2.75 0.0283724 -0.0283724
2.8 0.0253232 -0.0253232
2.85 0.022536 -0.022536
2.9 0.0199977 -0.0199977
2.95 0.0176943 -0.0176943
3 0.0156113 -0.0156113
3.05 0.0137343 -0.0137343
3.1 0.0120486 -0.0120486
3.15 0.0105399 -0.0105399
3.2 0.0091941 -0.0091941
3.25 0.00799762 -0.00799762
3.3 0.00693736 -0.00693736
3.35 0.00600086 -0.00600086
3.4 0.00517633 -0.00517633
3.45 0.00445271 -0.00445271
3.5 0.00381965 -0.00381965
3.55 0.00326755 -0.00326755
3.6 0.00278756 -0.00278756
3.65 0.00237155 -0.00237155
3.7 0.00201209 -0.00201209
3.75 0.00170246 -0.00170246
3.8 0.00143654 -0.00143654
3.85 0.00120885 -0.00120885
3.9 0.00101449 -0.00101449
3.95 0.000849057 -0.000849057
4 0.000708672 -0.000708672
4.05 0.00058989 -0.00058989
4.1 0.000489677 -0.000489677
4.15 0.000405375 -0.000405375
4.2 0.00033466 -0.00033466
4.25 0.000275508 -0.000275508
4.3 0.000226165 -0.000226165
4.35 0.000185114 -0.000185114
4.4 0.000151048 -0.000151048
4.45 0.000122847 -0.000122847
4.5 9.95513e-05 -9.95513e-05
4.55 8.03406e-05 -8.03406e-05
4.6 6.45173e-05 -6.45173e-05
4.65 5.14876e-05 -5.14876e-05
4.7 4.07466e-05 -4.07466e-05
4.75 3.18643e-05 -3.18643e-05
4.8 2.44729e-05 -2.44729e-05
4.85 1.82556e-05 -1.82556e-05
4.9 1.29362e-05 -1.29362e-05
4.95 8.2686e-06 -8.26861e-06
5 4.02785e-06 -4.02785e-06
